epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,267.418,1.09166,1.68242,2.19654,0.00711,1.55329,0.60934,0.48932,0.49438,0.34917,0.61449,0.49454,0.50201,0.3553,0.97269,1.1685,1.46317,0.01024,0,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902
2,463.678,1.08145,1.47056,1.34894,0.00693,0.91336,0.48043,0.49613,0.50113,0.34383,0.48974,0.50393,0.51486,0.35018,1.06627,1.18101,1.31055,0.01126,0,0.0197892,0.0065964,0.0197892,0.0065964,0.0197892,0.0065964,0.0197892,0.0065964
3,653.877,1.16874,1.53894,1.37723,0.0076,0.93027,0.60068,0.35698,0.40744,0.27051,0.60055,0.36647,0.41108,0.27548,1.17993,1.39807,1.60911,0.01274,0,0.0293933,0.00979777,0.0293933,0.00979777,0.0293933,0.00979777,0.0293933,0.00979777
4,843.487,1.23959,1.59407,1.41143,0.0083,0.95002,0.51784,0.51171,0.53023,0.34424,0.53547,0.52011,0.54177,0.35263,1.16507,1.41166,1.36363,0.01258,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1030.18,1.22304,1.57097,1.36677,0.00811,0.90564,0.52476,0.35442,0.42438,0.26478,0.57442,0.3618,0.43647,0.26974,1.24433,1.4892,1.94738,0.01377,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1222.44,1.2022,1.53221,1.30977,0.00787,0.87179,0.53963,0.51247,0.54571,0.35007,0.5401,0.51626,0.55366,0.37383,1.13771,1.2509,1.27819,0.012,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1410.22,1.17839,1.4952,1.2587,0.00773,0.83622,0.58233,0.56452,0.61086,0.40276,0.58695,0.5694,0.61847,0.41839,1.10385,1.17474,1.11197,0.01152,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1599.87,1.16313,1.47494,1.23529,0.00759,0.83469,0.5916,0.5946,0.59285,0.39595,0.5934,0.60402,0.60555,0.41076,1.08484,1.16681,1.1792,0.01161,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1789.3,1.15692,1.45971,1.21365,0.00749,0.8062,0.68288,0.45839,0.53444,0.36469,0.69826,0.46115,0.54578,0.38212,1.06408,1.13388,1.24453,0.01135,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1978.24,1.149,1.46239,1.19993,0.0074,0.80546,0.59015,0.54849,0.58865,0.385,0.58713,0.55199,0.59495,0.40482,1.06989,1.16538,1.10922,0.01117,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2166.61,1.13958,1.45562,1.18048,0.00736,0.78262,0.65206,0.58558,0.60967,0.40972,0.65862,0.59715,0.6203,0.42895,1.05428,1.13491,1.03078,0.01098,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2354.85,1.12342,1.4245,1.1581,0.0072,0.78169,0.56088,0.55386,0.58553,0.40016,0.57186,0.55972,0.59803,0.41204,1.01801,1.09845,1.01802,0.01067,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
